,,,,,
,,,,,
,,,,,
GAUSS,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
36,4.61785332195319E-11,2.8219395681758E-12,0.008199200272727,2.39949932563636,11
37,4.5257048109093E-11,2.74330137765249E-12,0.0094378801,2.7362895307,10
38,4.81676087904503E-11,2.88601037894182E-12,0.0107782413,3.2164502421,10
39,4.71313266192652E-11,2.80333735279705E-12,0.0137760053,4.7255456504,10
40,4.62414273538769E-11,2.71137875994739E-12,0.0143354515,5.907600082,2
41,4.53127813049292E-11,2.63784588316385E-12,0.0205639405,7.1635700105,2
42,4.78339312603993E-11,2.75662853948819E-12,0.019288774,7.9390565535,2
43,4.69162486638197E-11,2.68069027006463E-12,0.0214332035,8.431041751,2
44,4.60291527115686E-11,2.59785076090823E-12,0.0202934335,7.328521854,2
45,4.51179371641075E-11,2.52994691781527E-12,0.02002065,8.595605327,2
46,4.73532324463122E-11,2.63025088931566E-12,0.0216584845,10.763175485,2
47,4.65099347923825E-11,2.56092389893208E-12,0.0277817285,10.5629721075,2
48,4.56438775664481E-11,2.48634514522075E-12,0.026482953,12.024111252,2
49,4.77282657840306E-11,2.5845576616736E-12,0.0306247545,13.7455316555,2
50,4.6807335785104E-11,2.50976301773125E-12,0.0313102665,15.3915417475,2
51,4.59862425916668E-11,2.44660242816027E-12,0.033512154,15.693761556,1
52,4.50351977931973E-11,2.45555109966147E-12,0.042710532,18.27436071,1
53,4.70035399491309E-11,2.46357122237761E-12,0.039922404,20.294973291,1
54,4.61841676013819E-11,2.39637339687984E-12,0.041371366,22.482736474,1
55,4.53926340959754E-11,2.33882024861266E-12,0.043662285,28.275609992,1
56,4.71505612331669E-11,2.40872164382269E-12,0.060228921,36.476962812,1
57,4.62680171953167E-11,2.35100376247458E-12,0.069962055,38.499158613,1
58,4.55185888981191E-11,2.29041205859648E-12,0.070897879,41.798237011,1
59,4.71885031050334E-11,2.35931508896146E-12,0.0766357,46.048171304,1
60,4.63410421147614E-11,2.2991042368122E-12,0.205482959,53.529611278,1
