

GAUSS,Preparation
Współczynniki wielomianu:
2.3350439175615983E-11 x^3,-3.73562735299031E-8 x^2,3.927924861861045E-5 x^1,-0.006632202623758287 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
1770,34.67342853466937,0.29399028107207925,14.438400389330631
1830,36.266101584744604,0.34476606962969986,19.082225026255394
1891,37.88531918565441,0.4895981843152597,36.34113930534559
Blad aproksymacji = 3727.8124913151905
Czas wykonania dla 100000:,2642.144657016163742000

GAUSS_SPARSE,Preparation
Współczynniki wielomianu:
3.905262387830365E-8 x^2,-2.5264926661242525E-5 x^1,0.006283510185750934 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,0.0035697974910750547,9.858477609975932,0.0032410407703543343
153,0.0033321592789480373,7.6353746511193465,0.002946286121896755
171,0.003105145501503939,5.050414480345687,0.0025919334708916944
190,0.002892973842121616,2.550004716487935,0.0020780527157678256
210,0.0027000962999231943,2.6080788129944663,0.0019517489272996198
231,0.002531199189774071,1.3128974720640882,0.0014368146697740709
253,0.002391203142282913,1.217720767985769,0.0013129776159671233
276,0.002285263103801655,0.6340207030155467,8.867109926905437E-4
300,0.002218768336425506,0.3716526213956802,6.011806893666822E-4
325,0.002197342417992937,0.2787652776902631,4.7901110549293676E-4
351,0.002226843242085696,0.1216955276788897,2.4159574208569654E-4
378,0.0023133630180287978,0.08707944676166979,2.2066144863786864E-4
406,0.0024632282708905292,0.1956474524848101,5.991456576808999E-4
435,0.0026829998414824438,0.20926865976178619,7.100613728032701E-4
465,0.0029794728863593656,0.4182316619543694,0.0021419348828714043
496,0.0033596768778193916,0.45215994595163406,0.002772910276026762
528,0.0038308756039038853,0.33497856335882226,0.0019296538960961148
561,0.00440056716839748,0.41362872753013674,0.0031041783316025197
595,0.005076483990828082,0.22537989044940185,0.0014770303425052514
630,0.00586659280646686,0.3144623598645463,0.0026910595571695032
666,0.006779094666328265,0.1156749705225836,8.867458791262809E-4
703,0.007822424937170006,0.2816598508909472,0.0030671584264663574
741,0.009005253301493068,0.22758317492288394,0.0026532877985069314
780,0.010336483757541707,0.13140290465898888,0.0015637215424582941
820,0.011825254619303439,0.13318581663749396,0.0018169478806965619
861,0.013480938516509063,0.576504033918501,0.01835156898349094
903,0.015313142394632637,0.164036876880387,0.0030048216053673617
946,0.017331707514891496,0.1731010995006082,0.003628179485108504
990,0.019546709454246247,0.1275796988904048,0.0028584425457537505
1035,0.02196845810540075,0.01835669530288472,4.1080939459925067E-4
1081,0.02460749767680216,0.26495996448510045,0.00515431467680216
1128,0.02747460669264088,0.2899514695535113,0.006175660692640882
1176,0.030580797992850593,0.2635654337866677,0.006378807992850594
1225,0.033937318733108256,0.25933068577095,0.011882479766891746
1275,0.03755565038483409,0.2938546340246831,0.00852947588483409
1326,0.041447508735191575,0.2863029821349576,0.009225311235191574
1378,0.045624843887087485,0.38335157252630087,0.012643463887087487
1431,0.05009984025917184,0.4220478365693353,0.014869070259171842
1485,0.054884916585837946,0.39882929357746505,0.01564859458583795
1540,0.059992725917222385,0.3792285415842164,0.016495419917222386
1596,0.06543615561920497,0.2742761447540715,0.02473058638079502
1653,0.07122832737340884,0.21203128299963275,0.019166539626591164
1711,0.07738259717720036,0.19309793311124118,0.01252405117720036
1770,0.08391255534368919,0.15788984818414387,0.01573302565631081
1830,0.0908320265017282,0.18006714113576797,0.013860112501728195
1891,0.09815506959591366,0.12381696431163068,0.01387068940408634
Blad aproksymacji = 0.0035357258834377552
Czas wykonania dla 100000:,388.00602962709799843400000

GAUSS_SEIDEL_MINUS10,Preparation
Współczynniki wielomianu:
5.486623477461811E-8 x^2,-5.4389374355751846E-5 x^1,0.014501100847044942 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,0.008118951813054028,22.81778535742113,0.007778074116357331
153,0.007463890260453946,17.028624687423324,0.007049888061735997
171,0.006804861403255985,11.976658465364116,0.006280468978085917
190,0.006147790794815805,8.165494777213555,0.005477036957270679
210,0.005498933185897713,6.032676125194456,0.004717021280954747
231,0.004864872524674662,4.234360685477151,0.003935461500674662
253,0.004252521956728256,3.028574356378114,0.0031969321672545717
276,0.003669123825048741,2.0434711953885856,0.0024635517694931853
300,0.0031222496700350176,0.6895400132657884,0.0012742616700350178
325,0.002619800229494632,0.5047846852902079,8.788201044946319E-4
351,0.0021700054386437715,0.024806210968295866,5.25266261437716E-5
378,0.0017814244301072781,0.31615759049779,8.235974365593886E-4
406,0.0014629455339186439,0.5213438200021928,0.001593414323224214
435,0.001223786277520001,0.6709470314985917,0.0024953300796228565
465,0.001073493385762134,0.7814768962179816,0.003839000383468634
496,0.0010219427809044744,0.8063281081208846,0.004254727834480141
528,0.0010793395826151023,0.884573567737276,0.008271547917384898
561,0.0012562181079707416,0.8477055883481613,0.006992397808695925
595,0.0015634418714567718,0.7614932509375835,0.004991684461876562
630,0.0020122035849672055,0.7407979199856581,0.005750865233214612
666,0.002614025157804725,0.7381246754631305,0.007367920114922549
703,0.003380757696680633,0.5876722626320112,0.00481844257604664
741,0.004324581505714914,0.5417846529206369,0.005113298594285087
780,0.005458006086436163,0.4936088426192349,0.005320235213563838
820,0.006793870137781646,0.5068330775263533,0.006982135162218354
861,0.00834534155609727,0.41785289733655967,0.005990109943902731
903,0.010125917435137596,0.5075886630221677,0.010438023064862407
946,0.01214942406606583,0.3701297933157478,0.007139349933934171
990,0.014430016937453825,0.3267447426860934,0.007003186562546176
1035,0.01698218073528207,0.16316868038707835,0.0033112527647179285
1081,0.019820729342939707,0.009985722594435961,1.9992065706029433E-4
1128,0.02296080584122455,0.06012984616834806,0.0013023213412245507
1176,0.02641788250834303,0.04909147361572436,0.0013638459916569673
1225,0.03020776081991023,0.14064926293945507,0.00372480781991023
1275,0.034346571448949904,0.12152969092209062,0.003721816948949904
1326,0.03885077426589443,0.24083179764357565,0.007540507765894426
1378,0.04373715833858483,0.30511331317541773,0.01022500433858483
1431,0.04902284193227081,0.14779281916391965,0.006312309932270804
1485,0.05472527250961067,0.3707910102209944,0.01480286850961067
1540,0.0608622267306714,0.471119583788251,0.019490860730671397
1596,0.06745181045292864,0.5448529652749194,0.023789525452928638
1653,0.07451245873126663,0.2371541361544006,0.014283537731266636
1711,0.0820629358179783,0.17296348453427082,0.012100880817978305
1770,0.09012233516276524,0.2711569998132842,0.019224456162765247
1830,0.09871007941273764,0.2880430323300712,0.02207437941273764
1891,0.10784592041241436,0.4751588115274592,0.09763703858758563
Blad aproksymacji = 0.013028009281415509
Czas wykonania dla 100000:,543.23791141145296034200000
